0.372	0.3825696	0.212	0.017249544
0.436	0.437552	0.356	0.024790101
0.348	0.53752	0.284	0.019971796
0.476	0.4325536	0.372	0.026501696
0.524	0.5475168	0.268	0.020388809
0.212	0.5225248	0.324	0.021557184
0.5	0.4275552	0.42	0.030728864
0.388	0.4025632	0.412	0.029441591
0.516	0.362576	0.22	0.019907294
0.412	0.487536	0.564	0.04128032
0.42	0.5775072	0.332	0.022213601
0.26	0.4675424	0.476	0.032240953
0.308	0.4425504	0.276	0.019186681
0.276	0.4475488	0.508	0.035962847
0.292	0.587504	0.524	0.033661807
0.484	0.4175584	0.38	0.027638771
0.252	0.5975008	0.34	0.02355588
0.204	0.5925024	0.588	0.038772536
0.532	0.5425184	0.58	0.041884098
0.508	0.5075296	0.54	0.038974249
0.38	0.4775392	0.5	0.034879796
0.356	0.5325216	0.316	0.021186433
0.452	0.41256	0.548	0.043348445
0.268	0.4825376	0.388	0.024964772
0.396	0.5275232	0.364	0.023535113
0.404	0.4525472	0.436	0.030217377
0.34	0.5175264	0.428	0.027602082
0.228	0.4075616	0.396	0.026692385
0.54	0.5675104	0.348	0.023656539
0.244	0.5725088	0.404	0.025585317
0.492	0.5525152	0.596	0.042815678
0.468	0.3775712	0.468	0.036518228
0.22	0.4975328	0.26	0.018854234
0.428	0.5825056	0.228	0.020254556
0.316	0.4925344	0.516	0.035195999
0.284	0.3575776	0.3	0.021312565
0.236	0.3525792	0.484	0.036602135
0.46	0.512528	0.252	0.019232149
0.324	0.5025312	0.308	0.020631261
0.444	0.3725728	0.452	0.034770739
0.332	0.4725408	0.204	0.016885991
0.3	0.462544	0.556	0.040425962
0.364	0.562512	0.236	0.019606893
